que,2,0.000000,5,12;
ja,1,0.000000,11,12;
atuou,1,0.000000,9,12;
no,2,0.000000,6,12;
ufc,2,0.000000,4,12;
foi,2,0.000000,9,12;
condenado,1,0.000000,10,12;
a,2,0.000000,9,12;
um,1,0.000000,6,12;
ano,1,0.000000,10,12;
prisao,1,0.000000,5,12;
apos,1,0.000000,10,12;
se,1,0.000000,12,13;
declarar,1,0.000000,9,13;
culpado,1,0.000000,10,13;
da,2,0.000000,9,13;
acusacao,1,0.000000,11,13;
ser,1,0.000000,12,13;
um,2,0.000000,7,13;
dos,1,0.000000,6,13;
quatro,1,0.000000,6,13;
proprietarios,1,0.000000,7,13;
tres,2,0.000000,7,13;
fazendas,1,0.000000,7,13;
que,2,0.000000,5,13;
maconha,1,0.000000,7,13;
para,2,0.000000,4,13;
venda,1,0.000000,7,13;
na,2,0.000000,9,13;
cidade,1,0.000000,6,13;
na,2,0.000000,9,13;
inglaterra,1,0.000000,11,13;
segundo,1,0.000000,13,14;
o,2,0.000000,1,14;
site,1,0.000000,9,14;
international,1,0.000000,12,14;
business,1,0.000000,6,14;
times,1,0.000000,7,13;
foram,1,0.000000,9,13;
encontrados,1,0.000000,7,13;
nas,1,0.000000,9,13;
propriedades,1,0.000000,8,13;
lampadas,1,0.000000,7,13;
grande,1,0.000000,8,13;
quantidade,1,0.000000,7,13;
plastico,1,0.000000,8,13;
e,2,0.000000,7,13;
outros,1,0.000000,6,13;
materiais,1,0.000000,8,13;
usados,1,0.000000,5,13;
na,2,0.000000,9,13;
producao,1,0.000000,6,13;
da,2,0.000000,8,13;
droga,1,0.000000,7,13;
alem,1,0.000000,10,13;
20,1,0.000000,7,13;
mil,1,0.000000,10,13;
euros,1,0.000000,7,13;
em,2,0.000000,6,13;
dinheiro,1,0.000000,5,13;
cerca,1,0.000000,8,13;
r,1,0.000000,10,13;
95,1,0.000000,9,13;
mil,2,0.000000,11,13;
todos,1,0.000000,9,13;
os,1,0.000000,7,13;
quatro,2,0.000000,7,13;
acusados,1,0.000000,11,13;
se,2,0.000000,12,13;
declararam,1,0.000000,9,13;
culpados,1,0.000000,10,13;
e,2,0.000000,7,13;
sua,2,0.000000,10,13;
ex,2,0.000000,7,13;
